frequency_Hz,impedance_ohm,phase_deg,resistance_ohm,reactance_ohm
1000.0,1109.2957420976754,-11.83512785210606,1085.7141434642292,-227.51229003675246
1072.2672220103232,1101.5714343558832,-11.372053281731999,1079.9447976976621,-217.2069495081435
1149.7569953977356,1094.3365799313192,-10.934188872556927,1074.469668692228,-207.57524234886614
1232.8467394420659,1087.23805875071,-10.50514086938736,1069.0143751153091,-198.22931718804253
1321.9411484660286,1080.2124793365085,-10.093267987913405,1063.4948712297291,-189.30837113659
1417.4741629268049,1073.8481451956955,-9.680498645706999,1058.557363213309,-180.57172460582572
1519.9110829529332,1067.7765549943772,-9.289151790584333,1053.7740496302877,-172.35725607424843
1629.7508346206434,1061.9796328853727,-8.908617156078495,1049.168533448024,-164.4570736875547
1747.5284000076829,1056.2965465303573,-8.53658119416394,1044.5941445328433,-156.7975363953672
1873.817422860383,1051.0199193406884,-8.177176723599613,1040.3341655334718,-149.49145418612295
2009.2330025650479,1046.0195404246374,-7.823922689238977,1036.2822374435896,-142.39383171007688
2154.4346900318847,1041.0628035270865,-7.482205541558328,1032.1985195057227,-135.56539830602546
2310.1297000831605,1036.6273267008555,-7.157213942651167,1028.5499454611277,-129.15581347687672
2477.0763559917114,1032.352493409158,-6.842566363650453,1024.9993243364272,-122.99616155788283
2656.0877829466867,1028.500594393269,-6.555359833145842,1021.7762715776913,-117.41687914477902
2848.035868435802,1024.6370192491654,-6.257063134605005,1018.5331644210086,-111.67459062088152
3053.8555088334156,1021.3506894007263,-5.954782263083174,1015.8395621182788,-105.95855215452185
3274.5491628777286,1018.0743391949538,-5.656379939636946,1013.1172284119702,-100.34361774467588
3511.191734215131,1014.9356761172799,-5.387099129350162,1010.4528362085583,-95.28637076581548
3764.9358067924672,1011.7444041961211,-5.132789877061109,1007.6873383433879,-90.51501292372772
4037.017258596554,1009.0111904172086,-4.87112637309122,1005.3668585992873,-85.67999776699916
4328.761281083057,1006.4473817683619,-4.626611733173424,1003.1678946743144,-81.18193988255156
4641.588833612782,1004.1672855440207,-4.4010952400065095,1001.2062829275724,-77.05787684072811
4977.023564332114,1001.7409379910496,-4.1661930124801865,999.0938549097827,-72.77620441255405
5336.699231206313,999.6828131826638,-3.9396104509525367,997.3205819107783,-68.6832138877576
5722.3676593502205,997.9609651853793,-3.7198582093986245,995.8584530492069,-64.74588422575272
6135.907273413176,996.1707986298509,-3.5265224346934394,994.2844813646233,-61.27503700787978
6579.332246575683,994.3298329368339,-3.348350230887458,992.6323971208802,-58.07530330740385
7054.8023107186455,993.3392508946426,-3.130012891316856,991.8573929279161,-54.23817347742608
7564.633275546291,991.6871817752176,-2.9672415007011947,990.3576211014015,-51.334674671672296
8111.308307896872,990.3271410190222,-2.779527593034247,989.162049002747,-48.023817545018254
8697.490026177835,989.2847392927779,-2.623229549787748,988.2480639319575,-45.27758311037887
9326.0334688322,987.745793528784,-2.4581514280940406,986.8368841646435,-42.36409666244842
10000.0,986.4766959370701,-2.287622263421977,985.6905150083174,-39.37613807316028
10722.672220103232,985.0973390239474,-2.144952898861347,984.407117206258,-36.869973497772094
11497.569953977356,984.3246927690685,-2.0060729150246424,983.7214221401484,-34.456703520289416
12328.467394420659,983.5174026733719,-1.8543006005516953,983.0023766673578,-31.824657542564918
13219.411484660288,982.368681984155,-1.72384608046857,981.9240881262477,-29.55186120573327
14174.741629268048,982.0153686468818,-1.6071837323100748,981.6290500606385,-27.542554996219128
15199.11082952933,980.7737135441555,-1.427608486994733,980.4692822243152,-24.434888862636516
16297.508346206434,980.1903023497307,-1.3593645374453676,979.9144436777528,-23.253212513040353
17475.28400007683,980.0840506002552,-1.2685439367512406,979.8438459846211,-21.69755117679817
18738.17422860383,978.6549626748588,-1.1423715887018624,978.4604469382975,-19.511272265957075
20092.33002565046,978.874993324995,-0.9667909037074136,978.7356433868489,-16.516443961695913
21544.346900318866,978.1000642440697,-0.870344670043619,977.9872192692362,-14.857140380305143
23101.29700083158,979.0296274392732,-0.7932429230928437,978.9358008240229,-13.55393923960985
24770.76355991714,977.8459972340165,-0.6524436532488076,977.7825990919746,-11.134775234878964
26560.87782946684,976.9729779806835,-0.5210125142153021,976.932585492355,-8.883867832625784
28480.35868435805,976.9203089502255,-0.4478046558854905,976.8904716945144,-7.635204769559673
30538.555088334124,975.88187665678,-0.32082970778517306,975.8665774114463,-5.464455913312777
32745.491628777316,977.2755002915302,-0.2323902325802577,977.2674617567208,-3.9637938438941154
35111.917342151275,974.6821996915902,-0.10417076136612415,974.6805887517161,-1.772090924621792
37649.35806792471,976.8459286288258,0.007485816131861786,976.845920291455,0.12762700939254182
40370.17258596558,978.5922829683933,-0.03341380411649256,978.5921165588003,-0.5706962934694328
43287.612810830615,974.9307983619373,0.10564315421849711,974.9291411382745,1.7975967375062527
46415.88833612782,975.8534256875105,0.24000809495735334,975.8448639782672,4.087771188157877
49770.23564332114,975.0999083209363,0.19964668534558883,975.0939886492055,3.397720954033618
53366.99231206313,974.2680928688565,0.489501343160648,974.2325372408966,8.323470639327777
57223.676593502205,975.5237254524964,0.48012698009552485,975.4894745312763,8.174594755206112
61359.072734131754,975.7894500777834,1.0496652981808035,975.6257041943977,17.875575467338695
65793.32246575682,979.1644531538143,1.1266297573439663,978.9751626527453,19.252460337292778
70548.02310718645,980.0870929417592,1.4227154195846226,979.7849564574589,24.334108791657027
75646.3327554629,986.8669930524669,1.6059712055231112,986.479351398526,27.65775191083502
81113.08307896872,988.4776334996537,0.9404268180876988,988.3444863581735,16.223692997404935
86974.90026177834,985.9896937274092,0.9872770374326383,985.8433195587892,16.98897930945821
93260.334688322,978.4807701447281,1.5210753507233752,978.1359814760316,25.973434215378624
100000.0,988.4549167292943,1.4114988280699914,988.154986192469,24.348422315986145
107226.72220103232,978.7603347141812,1.6607689619190482,978.3491952814196,28.36626344823456
114975.69953977356,977.7536990177842,1.435944189616961,977.446650788929,24.501853082274362
123284.67394420659,978.2511979682694,2.1742369264285286,977.5469319299881,37.11336956706238
132194.11484660287,981.6840527602841,2.426724513188655,980.8036680210661,41.56614295648167
141747.4162926805,982.1650569578858,2.582882814536369,981.1672533380121,44.2608188607963
151991.10829529332,981.372952157464,2.428749020260719,980.4913775587981,41.58761545348036
162975.08346206468,979.4711421366228,2.574474635686028,978.4825422670307,43.99582658694841
174752.8400007683,979.884697543129,2.8643159122963158,978.660501147901,48.96574284261361
187381.74228603867,980.4122306098825,3.075399272372814,979.0002387219636,52.59918736809317
200923.3002565046,979.7901423017859,3.466284609726706,977.9976645310345,59.23927011363362
215443.46900318866,982.5531036646514,3.6635952629724646,980.5451773367874,62.78341120556623
231012.9700083158,983.3335429107326,3.857721161999539,981.1055018631849,66.15777223547974
247707.6355991714,984.8192537396009,4.354788635938032,981.976060669702,74.77953468588937
265608.7782946684,984.6050224733049,4.563895601419512,981.4830537584494,78.34580693723059
284803.5868435805,987.2420546849343,4.763808980910642,983.8316425732515,81.98886272018075
305385.55088334123,989.8524637137903,5.18244685514008,985.8060637370176,89.41087528700112
327454.9162877732,991.9321235132323,5.633526182799037,987.1412200364371,97.373247673296
351119.17342151277,994.547348301506,6.10970079353871,988.8982579277694,105.85208302617428
376493.58067924716,998.4222304270836,6.464926455556604,992.0732302448195,112.41732981441042
403701.72585965495,999.6845045510528,6.836000407593239,992.5776632885076,118.99029784066472
432876.12810830615,1003.2937190843585,7.319709232559446,995.1175523201224,127.82544276681423
464158.8833612782,1007.2116423697025,7.791055669726268,997.9140864924472,136.53852388618483
497702.35643321136,1012.7001305385169,8.305957559536923,1002.0776896974311,146.29373945384054
533669.9231206313,1017.4695158945749,8.820874448152436,1005.4354754338573,156.02474327437258
572236.765935022,1023.2496800948202,9.338910674575608,1009.6872633599685,166.04679467791394
613590.7273413176,1030.4106197788337,9.876000620281912,1015.1412279356488,176.7323759199297
657933.2246575683,1037.1612527220077,10.501165173054485,1019.7900477840769,189.02836450764346
705480.2310718645,1045.2400343842476,11.109281727583632,1025.6537655265927,201.39782208530542
756463.3275546291,1053.9443805392566,11.73081605740054,1031.931278251528,214.28157698795442
811130.8307896872,1065.1775057856605,12.384604743180786,1040.3907634587376,228.4516976113455
869749.0026177834,1077.7186585280915,13.027964232575314,1049.9783498273182,242.94643819881583
932603.3468832199,1090.9047719391392,13.664627334786315,1060.0268776188423,257.71348463988744
1000000.0,1104.4726088989478,14.243591073595036,1070.5193952506804,271.74982649519
