frequency_Hz,impedance_ohm,phase_deg,resistance_ohm,reactance_ohm
2154.4346900318847,1047.171227646898,-7.463288850166891,1038.299896644666,-136.01803056649305
2310.1297000831605,1042.647795853128,-7.129785506630551,1034.5855727929961,-129.41065939857518
2477.0763559917114,1038.2619460038588,-6.8249736036543585,1030.9046192439735,-123.3836883107243
2656.0877829466867,1034.384243374153,-6.504170538672658,1027.7265461021816,-117.17042876766739
3053.8555088334156,1027.0466369725705,-5.925881005474695,1021.5583907577613,-106.0341868883798
3274.5491628777286,1023.7724704778569,-5.640053230584445,1018.8163269677918,-100.6149253947545
3511.191734215131,1020.6152531311975,-5.382194354072817,1016.1155261268461,-95.7326093242065
3764.9358067924672,1017.4919296785453,-5.118783290622115,1013.4340392295838,-90.78146887873113
4328.761281083057,1012.6255711002232,-4.603848977616396,1009.358323209198,-81.2792877329108
4641.588833612782,1010.1245449626132,-4.3895867326659515,1007.161525544444,-77.31272727639835
4977.023564332114,1008.0071984751933,-4.154831114393413,1005.35805912319,-73.03208290785814
5336.699231206313,1005.607317699286,-3.9430687307825023,1003.2269149343971,-69.15081027410152
5722.3676593502205,1003.6250251536534,-3.7206088230737393,1001.5097268154639,-65.12647855278391
6579.332246575683,1000.603277592359,-3.320469752234328,998.923452116042,-57.955637699371934
7054.8023107186455,998.8400606148545,-3.1321363013324417,997.3479746609743,-54.57549018321936
7564.633275546291,997.6885792216152,-2.955200007159911,996.3618044116197,-51.43593898109131
8111.308307896872,996.0634352030943,-2.7701713683315017,994.8994688992715,-48.13952360105242
9326.0334688322,993.2836775464823,-2.447602016669027,992.3774993735213,-42.41889693781321
10000.0,991.8748324868603,-2.3121271011513427,991.0673258845834,-40.01548306366212
10722.672220103232,991.1736853272014,-2.165210281830157,990.4660280459381,-37.44758699848347
11497.569953977356,990.2073048771055,-2.0178091683129336,989.5933080029234,-34.86533217699268
13219.411484660288,988.7258968992646,-1.6864820411568577,988.2976120272252,-29.098612690976182
14174.741629268048,987.9585715920521,-1.600936833854746,987.5729302275245,-27.601569955873597
15199.11082952933,987.7525731904839,-1.4313154227737286,987.4443814286506,-24.672645367124357
16297.508346206434,986.750640328471,-1.3200791725763124,986.4887539541467,-22.732455006941247
18738.17422860383,985.3581852069234,-1.1000983893331744,985.1765631525934,-18.918048766343478
20092.33002565046,985.0027344929409,-0.9835682152306408,984.8576033946059,-16.908222686142768
21544.346900318866,985.1958395303797,-0.8464200818642237,985.0883388215477,-14.553588759249505
23101.29700083158,984.710219934574,-0.786801456310895,984.6173753301396,-13.521887500785143
26560.87782946684,983.4501416230473,-0.5982783626975906,983.3965274349624,-10.268928242475415
28480.35868435805,983.4030110322836,-0.4166717653399531,983.3770068917469,-7.1515329818863895
30538.555088334124,983.1295973792413,-0.31344140058506437,983.1148862115571,-5.378266663736001
32745.491628777316,984.2137478569421,-0.14075586642347046,984.2107779218557,-2.4178695299637813
35111.917342151275,984.5923230340164,-0.06629562812443124,984.5916639346173,-1.1392488677458719
40370.17258596558,980.4870778509586,0.23788072919649,980.4786273099771,4.070776468267868
43287.612810830615,978.5044797420742,0.18445581950559625,978.4994089955005,3.1501540856628734
46415.88833612782,984.0133187311567,0.3953981368627688,983.9898876013617,6.790621368060007
49770.23564332114,980.6714641358465,0.08829393812899071,980.6702997150118,1.5112336727885916
