frequency_Hz,impedance_ohm,phase_deg,resistance_ohm,reactance_ohm
1072.2672220103232,1118.5637499704717,-11.216027626552801,1097.200058015064,-217.57043788103178
1149.7569953977356,1111.4255357797838,-10.788551841230294,1091.7807242405038,-208.04223552024396
1232.8467394420659,1104.4596572753956,-10.343350400462489,1086.5116061090127,-198.30195243440667
1321.9411484660286,1097.7906779471668,-9.938308725369302,1081.3173977567233,-189.4651891412471
1519.9110829529332,1085.3653652519797,-9.15495454345114,1071.5396091906355,-172.68712176692134
1629.7508346206434,1079.6161554189512,-8.768781185570981,1066.9971616441217,-164.5846289450653
1747.5284000076829,1073.9909350066646,-8.398924787546845,1062.472461900093,-156.87191010644537
1873.817422860383,1068.9587015174397,-8.048612466411234,1058.4290641224886,-149.66837264647313
2154.4346900318847,1059.1611752498695,-7.37384251904139,1050.4017625944539,-135.93576532741304
2310.1297000831605,1054.843903964283,-7.040218053865579,1046.8907632769997,-129.28801760376274
2477.0763559917114,1050.580130285307,-6.7325280199277575,1043.3355955624875,-123.16430157542534
2656.0877829466867,1046.697842800036,-6.430366794164448,1040.1127537019959,-117.22556764076624
3053.8555088334156,1039.7441460579737,-5.842918991501828,1034.342395209262,-105.84752587846454
3274.5491628777286,1036.245878559769,-5.571719498183505,1031.3500773767084,-100.61082808110054
3511.191734215131,1033.226243487847,-5.309223232795723,1028.7935126409523,-95.60532715229986
3764.9358067924672,1030.2417217591244,-5.049890517239809,1026.242765620801,-90.68512151491569
4328.761281083057,1024.9284601918578,-4.55256791526542,1021.6947383868813,-81.35238204142868
4641.588833612782,1022.7089177570522,-4.32545505186388,1019.7959604714382,-77.13448947090959
4977.023564332114,1020.3754900692252,-4.116454685986327,1017.7431341124202,-73.24652688721692
5336.699231206313,1018.5349301777527,-3.8961009183663196,1016.1809992841814,-69.20679653041344
5722.3676593502205,1016.466570862705,-3.7038901069676204,1014.3434105979959,-65.66380325424342
6579.332246575683,1013.0637056310406,-3.3067364130719565,1011.376996868964,-58.434937077156846
7054.8023107186455,1011.3437750449771,-3.1295426136016515,1009.8355112455278,-55.2129654131041
7564.633275546291,1009.959555926503,-2.9559520702556696,1008.6157790369479,-52.081809539894685
8111.308307896872,1008.6350561387549,-2.787526449346467,1007.4415871836262,-49.052266868772435
9326.0334688322,1006.3797750252184,-2.470005425743018,1005.4447673115174,-43.371320774190565
10000.0,1005.229658557492,-2.328694517022579,1004.3995110087166,-40.84469034113416
