frequency_Hz,impedance_ohm,phase_deg,resistance_ohm,reactance_ohm
1000.0,1126.725297821998,-11.670448492784248,1103.4328124315387,-227.9164873401992
1417.4741629268049,1091.3556693353382,-9.546403980525978,1076.242145652722,-180.99735056405953
2009.2330025650479,1063.9232863861844,-7.697119621983866,1054.3372675982375,-142.49801917311478
2848.035868435802,1043.0192764967608,-6.127551132049492,1037.0602270610902,-111.33416632744051
4037.017258596554,1027.5227161379214,-4.80114326467175,1023.9173335046593,-86.00131585132814
6135.907273413176,1014.7894154355571,-3.4895820904740904,1012.9078763010091,-61.767238949296086
8697.490026177835,1007.3609198580722,-2.6253378175727637,1006.3036052298945,-46.141921921587524
12328.467394420659,1002.3899905579802,-1.9342979701412144,1001.8188184854805,-33.834126251221406
17475.28400007683,999.0622441100548,-1.3525415312584441,998.7838895520124,-23.581975692724928
24770.76355991714,996.5087894606205,-0.8696372286734773,996.3940074620323,-15.12446250359866
37649.35806792471,994.9323349156467,-0.3372391392451377,994.9151006423533,-5.856071594210457
53366.99231206313,994.832618384215,0.10635718525492968,994.8309043941446,1.846689882313541
75646.3327554629,991.2946453327328,0.5430640719685351,991.2501180296365,9.395603843300542
107226.72220103232,992.9464427336268,0.7856428410764538,992.8530970858048,13.614908904905095
151991.10829529332,995.290230819021,1.4007313450758538,994.9928160405773,24.329808700892674
231012.9700083158,996.5141033775449,2.347197996500255,995.67802517272,40.81211117431346
327454.9162877732,1001.2402805724312,3.340459576377923,999.5390919397819,58.34126434143324
464158.8833612782,1008.8145710039473,4.750562413856249,1005.3489798231394,83.54799482005002
657933.2246575683,1022.9853624437676,6.532243851661152,1016.3441332372172,116.37720828622881
1000000.0,1056.505937846344,9.321935779840523,1042.553481455171,171.1345523565739
