ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,4.17232513427734E-03
1,0.35,1.99997993186116E-02,8.34465026855469E-03
1,0.47,3.99995986372232E-02,7.15255737304688E-03
1,0.59,5.99993979558349E-02,1.78813934326172E-03
1,0.71,7.99991972744465E-02,1.07288360595703E-02
1,0.82,9.99989965930581E-02,7.74860382080078E-03
1,0.94,0.11999879591167,5.96046447753906E-03
1,1.06,0.139998595230281,5.96046447753906E-03
1,1.18,0.159998394548893,1.31130218505859E-02
1,1.3,0.179998193867505,1.49011611938477E-02
1,1.42,0.199997993186116,1.07288360595703E-02
1,1.54,0.219997792504728,1.19209289550781E-02
1,1.65,0.239997591823339,7.15255737304688E-03
1,1.78,0.259997391141951,3.57627868652344E-03
1,1.89,0.279997190460563,2.98023223876953E-03
1,2.01,0.299996989779174,1.78813934326172E-03
1,2.13,0.319996789097786,5.96046447753906E-04
1,2.25,0.339996588416398,5.96046447753906E-03
1,2.37,0.359996387735009,8.94069671630859E-03
1,2.49,0.379996187053621,1.01327896118164E-02
1,2.6,0.399995986372232,8.94069671630859E-03
1,2.72,0.419995785690844,1.54972076416016E-02
1,2.84,0.439995585009456,0.012516975402832
1,2.96,0.459995384328067,1.37090682983398E-02
1,3.08,0.479995183646679,1.84774398803711E-02
1,3.2,0.499994982965291,1.01327896118164E-02
1,3.32,0.519994782283902,1.60932540893555E-02
1,3.44,0.539994581602514,1.54972076416016E-02
1,3.56,0.559994380921125,1.66893005371094E-02
1,3.68,0.579994180239737,0.012516975402832
1,3.79,0.599993979558349,8.94069671630859E-03
1,3.91,0.61999377887696,2.08616256713867E-02
1,4.03,0.639993578195572,2.02655792236328E-02
1,4.15,0.659993377514184,2.32458114624023E-02
1,4.27,0.679993176832795,1.78813934326172E-02
1,4.39,0.699992976151407,2.08616256713867E-02
1,4.51,0.719992775470018,2.14576721191406E-02
1,4.62,0.73999257478863,0.019073486328125
1,4.75,0.759992374107242,0.012516975402832
1,4.87,0.779992173425853,0.019073486328125
1,4.98,0.799991972744465,2.02655792236328E-02
1,5.1,0.819991772063077,2.38418579101563E-02
1,5.22,0.839991571381688,2.38418579101563E-02
1,5.34,0.8599913707003,2.08616256713867E-02
1,5.46,0.879991170018911,1.54972076416016E-02
1,5.57,0.899990969337523,1.43051147460938E-02
1,5.69,0.919990768656135,2.02655792236328E-02
1,5.81,0.939990567974746,0.019073486328125
1,5.93,0.959990367293358,3.27825546264648E-02
1,6.05,0.979990166611969,2.92062759399414E-02
1,6.17,0.999989965930581,0.025629997253418
1,6.29,1.01998976524919,2.62260437011719E-02
1,6.41,1.0399895645678,0.025629997253418
1,6.53,1.05998936388642,2.38418579101563E-02
1,6.65,1.07998916320503,2.62260437011719E-02
1,6.76,1.09998896252364,1.96695327758789E-02
1,6.88,1.11998876184225,3.03983688354492E-02
1,7,1.13998856116086,2.80141830444336E-02
1,7.12,1.15998836047947,2.26497650146484E-02
1,7.24,1.17998815979809,2.14576721191406E-02
1,7.36,1.1999879591167,2.74181365966797E-02
1,7.48,1.21998775843531,2.74181365966797E-02
1,7.59,1.23998755775392,2.44379043579102E-02
