ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-2.86102294921875E-02
1,0.35,1.99997993186116E-02,-3.51667404174805E-02
1,0.47,3.99995986372232E-02,-3.45706939697266E-02
1,0.58,5.99993979558349E-02,-2.26497650146484E-02
1,0.7,7.99991972744465E-02,-2.14576721191406E-02
1,0.82,9.99989965930581E-02,-0.031590461730957
1,0.94,0.11999879591167,-2.92062759399414E-02
1,1.05,0.139998595230281,-3.03983688354492E-02
1,1.17,0.159998394548893,-0.031590461730957
1,1.29,0.179998193867505,-2.68220901489258E-02
1,1.41,0.199997993186116,-2.38418579101563E-02
1,1.53,0.219997792504728,-2.02655792236328E-02
1,1.64,0.239997591823339,-2.80141830444336E-02
1,1.76,0.259997391141951,-2.74181365966797E-02
1,1.88,0.279997190460563,-2.68220901489258E-02
1,2,0.299996989779174,-1.84774398803711E-02
1,2.12,0.319996789097786,-2.08616256713867E-02
1,2.23,0.339996588416398,-1.66893005371094E-02
1,2.35,0.359996387735009,-3.09944152832031E-02
1,2.47,0.379996187053621,-2.98023223876953E-02
1,2.59,0.399995986372232,-2.32458114624023E-02
1,2.71,0.419995785690844,-2.08616256713867E-02
1,2.82,0.439995585009456,-2.02655792236328E-02
1,2.94,0.459995384328067,-2.62260437011719E-02
1,3.06,0.479995183646679,-2.92062759399414E-02
1,3.18,0.499994982965291,-2.44379043579102E-02
1,3.3,0.519994782283902,-2.20537185668945E-02
1,3.41,0.539994581602514,-2.44379043579102E-02
1,3.53,0.559994380921125,-2.80141830444336E-02
1,3.65,0.579994180239737,-1.78813934326172E-02
1,3.77,0.599993979558349,-0.012516975402832
1,3.88,0.61999377887696,-2.20537185668945E-02
1,4,0.639993578195572,-2.08616256713867E-02
1,4.12,0.659993377514184,-1.78813934326172E-02
1,4.24,0.679993176832795,-1.72853469848633E-02
1,4.36,0.699992976151407,-2.08616256713867E-02
1,4.47,0.719992775470018,-2.62260437011719E-02
1,4.59,0.73999257478863,-2.02655792236328E-02
1,4.71,0.759992374107242,-8.94069671630859E-03
1,4.83,0.779992173425853,-0.012516975402832
1,4.94,0.799991972744465,-1.31130218505859E-02
1,5.06,0.819991772063077,-2.44379043579102E-02
1,5.18,0.839991571381688,-0.012516975402832
1,5.3,0.8599913707003,-1.01327896118164E-02
1,5.42,0.879991170018911,-6.55651092529297E-03
1,5.53,0.899990969337523,-1.19209289550781E-02
1,5.65,0.919990768656135,-1.19209289550781E-02
1,5.77,0.939990567974746,-1.07288360595703E-02
1,5.89,0.959990367293358,-5.96046447753906E-03
1,6.01,0.979990166611969,-3.57627868652344E-03
1,6.12,0.999989965930581,-1.07288360595703E-02
1,6.24,1.01998976524919,-1.49011611938477E-02
1,6.36,1.0399895645678,1.19209289550781E-03
1,6.48,1.05998936388642,-8.94069671630859E-03
1,6.6,1.07998916320503,-1.07288360595703E-02
1,6.71,1.09998896252364,-4.17232513427734E-03
1,6.83,1.11998876184225,-4.76837158203125E-03
1,6.95,1.13998856116086,-4.76837158203125E-03
1,7.07,1.15998836047947,5.96046447753906E-04
1,7.19,1.17998815979809,-1.19209289550781E-03
1,7.3,1.1999879591167,-5.96046447753906E-04
1,7.42,1.21998775843531,0
1,7.54,1.23998755775392,-5.96046447753906E-04
1,7.65,1.25998735707253,-1.78813934326172E-03
1,7.77,1.27998715639114,-3.57627868652344E-03
