ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-3.87430191040039E-02
1,0.35,1.99997993186116E-02,-4.52995300292969E-02
1,0.47,3.99995986372232E-02,-3.99351119995117E-02
1,0.59,5.99993979558349E-02,-4.41074371337891E-02
1,0.7,7.99991972744465E-02,-4.17232513427734E-02
1,0.82,9.99989965930581E-02,-4.11272048950195E-02
1,0.94,0.11999879591167,-3.33786010742188E-02
1,1.06,0.139998595230281,-4.41074371337891E-02
1,1.17,0.159998394548893,-4.11272048950195E-02
1,1.29,0.179998193867505,-3.09944152832031E-02
1,1.41,0.199997993186116,-4.11272048950195E-02
1,1.52,0.219997792504728,-2.98023223876953E-02
1,1.64,0.239997591823339,-0.03814697265625
1,1.76,0.259997391141951,-3.27825546264648E-02
1,1.88,0.279997190460563,-2.80141830444336E-02
1,2,0.299996989779174,-3.45706939697266E-02
1,2.11,0.319996789097786,-3.45706939697266E-02
1,2.23,0.339996588416398,-3.03983688354492E-02
1,2.35,0.359996387735009,-2.80141830444336E-02
1,2.47,0.379996187053621,-3.03983688354492E-02
1,2.59,0.399995986372232,-3.63588333129883E-02
1,2.7,0.419995785690844,-3.27825546264648E-02
1,2.82,0.439995585009456,-3.27825546264648E-02
1,2.94,0.459995384328067,-3.03983688354492E-02
1,3.06,0.479995183646679,-2.50339508056641E-02
1,3.17,0.499994982965291,-3.03983688354492E-02
1,3.29,0.519994782283902,-2.50339508056641E-02
1,3.41,0.539994581602514,-2.26497650146484E-02
1,3.53,0.559994380921125,-2.98023223876953E-02
1,3.65,0.579994180239737,-2.32458114624023E-02
1,3.76,0.599993979558349,-2.44379043579102E-02
1,3.88,0.61999377887696,-0.019073486328125
1,4,0.639993578195572,-2.14576721191406E-02
1,4.12,0.659993377514184,-2.02655792236328E-02
1,4.23,0.679993176832795,-1.49011611938477E-02
1,4.35,0.699992976151407,-1.84774398803711E-02
1,4.47,0.719992775470018,-1.31130218505859E-02
1,4.59,0.73999257478863,-1.96695327758789E-02
1,4.71,0.759992374107242,-1.66893005371094E-02
1,4.82,0.779992173425853,-1.78813934326172E-02
1,4.94,0.799991972744465,-0.019073486328125
1,5.06,0.819991772063077,-0.025629997253418
1,5.18,0.839991571381688,-1.60932540893555E-02
1,5.3,0.8599913707003,-1.78813934326172E-02
1,5.41,0.879991170018911,-1.19209289550781E-02
1,5.53,0.899990969337523,-1.13248825073242E-02
1,5.65,0.919990768656135,-1.78813934326172E-02
1,5.77,0.939990567974746,-1.43051147460938E-02
1,5.89,0.959990367293358,-1.66893005371094E-02
1,6,0.979990166611969,-1.49011611938477E-02
1,6.12,0.999989965930581,-2.38418579101563E-02
1,6.24,1.01998976524919,-2.68220901489258E-02
1,6.36,1.0399895645678,-1.49011611938477E-02
1,6.48,1.05998936388642,-5.96046447753906E-03
1,6.59,1.07998916320503,-1.78813934326172E-02
1,6.71,1.09998896252364,-1.49011611938477E-02
1,6.83,1.11998876184225,-1.19209289550781E-02
1,6.95,1.13998856116086,-0.012516975402832
1,7.07,1.15998836047947,-1.31130218505859E-02
1,7.18,1.17998815979809,-1.54972076416016E-02
1,7.3,1.1999879591167,-1.60932540893555E-02
1,7.42,1.21998775843531,-6.55651092529297E-03
1,7.54,1.23998755775392,-1.19209289550781E-02
1,7.66,1.25998735707253,-8.94069671630859E-03
1,7.77,1.27998715639114,-7.15255737304688E-03
1,7.89,1.29998695570976,-7.15255737304688E-03
1,8.01,1.31998675502837,-0.012516975402832
1,8.13,1.33998655434698,-1.31130218505859E-02
1,8.25,1.35998635366559,-7.15255737304688E-03
1,8.36,1.3799861529842,-2.38418579101563E-03
1,8.48,1.39998595230281,-1.13248825073242E-02
1,8.6,1.41998575162143,0
1,8.72,1.43998555094004,-1.54972076416016E-02
1,8.84,1.45998535025865,-5.96046447753906E-04
1,8.95,1.47998514957726,-5.96046447753906E-04
1,9.07,1.49998494889587,1.78813934326172E-03
1,9.19,1.51998474821448,0
1,9.31,1.53998454753309,2.38418579101563E-03
1,9.43,1.55998434685171,1.19209289550781E-03
1,9.54,1.57998414617032,-1.78813934326172E-03
1,9.66,1.59998394548893,2.98023223876953E-03
1,9.78,1.61998374480754,2.38418579101563E-03
1,9.9,1.63998354412615,0
1,10.02,1.65998334344476,1.13248825073242E-02
1,10.13,1.67998314276338,8.34465026855469E-03
1,10.25,1.69998294208199,5.96046447753906E-03
1,10.37,1.7199827414006,1.78813934326172E-03
1,10.49,1.73998254071921,-4.76837158203125E-03
1,10.6,1.75998234003782,6.55651092529297E-03
1,10.72,1.77998213935643,3.57627868652344E-03
1,10.84,1.79998193867505,8.94069671630859E-03
1,10.95,1.81998173799366,4.76837158203125E-03
1,11.08,1.83998153731227,5.96046447753906E-03
1,11.19,1.85998133663088,0.012516975402832
1,11.31,1.87998113594949,9.5367431640625E-03
1,11.43,1.8999809352681,1.49011611938477E-02
1,11.54,1.91998073458672,1.54972076416016E-02
1,11.66,1.93998053390533,1.31130218505859E-02
1,11.78,1.95998033322394,1.49011611938477E-02
1,11.9,1.97998013254255,6.55651092529297E-03
1,12.01,1.99997993186116,1.72853469848633E-02
1,12.13,2.01997973117977,7.15255737304688E-03
1,12.25,2.03997953049839,1.31130218505859E-02
1,12.37,2.059979329817,1.19209289550781E-02
1,12.49,2.07997912913561,8.34465026855469E-03
1,12.6,2.09997892845422,1.31130218505859E-02
1,12.72,2.11997872777283,1.54972076416016E-02
1,12.84,2.13997852709144,1.37090682983398E-02
1,12.96,2.15997832641006,0.019073486328125
