freq_hz,R,X,Z,phase_deg
2000.0000000000002,1232.6859193326368,-151.1345274229954,1241.9163502830293,-6.989913508563207
2257.675783369379,1221.9744259032834,-140.69274123548308,1230.0471312100256,-6.567863373571621
2548.549971406267,1218.9655349255265,-123.46974211720585,1225.2027393679646,-5.783797152609843
2876.8997765753265,1209.9862296415022,-114.74501332332675,1215.414782699564,-5.4172539416877425
3247.5534783774424,1205.697155213943,-106.34894489007414,1210.378340920816,-5.040748898140097
3665.961421664872,1200.2853030566414,-93.42409060556126,1203.9156404994703,-4.450638211368563
4138.276162229581,1198.6063789480602,-85.27801111544515,1201.6362140160336,-4.069601790055081
4671.442938180243,1192.1939278500984,-72.02334563900966,1194.3674995241965,-3.457176157186312
5273.301797460717,1184.3668821324009,-71.56829525096643,1186.527257325829,-3.4580341572153226
5952.702883262639,1188.729099326349,-62.36749950582649,1190.3640521201244,-3.0033092819976686
6719.636572567563,1183.4271648503707,-45.88796081259411,1184.3164946302677,-2.2205591154815147
7585.380381464501,1183.2219686602018,-42.740184484538055,1183.9936446155004,-2.068730985867286
8562.664797438792,1174.5650418556068,-34.302742067447014,1175.0658346078355,-1.6728267836083104
9665.860477143506,1173.299749444607,-27.52441000237715,1173.622552268299,-1.3438538022818802
10911.189562337031,1177.2431924613468,-26.594571444369464,1177.5435471467258,-1.2941230691012848
12316.964221320535,1170.349421309989,-13.261574324430503,1170.4245543024927,-0.6492075843204218
13903.855923551213,1179.3472802312208,-1.8702691920894519,1179.3487632145245,-0.09086249930330054
15695.199407029215,1166.0917133213175,-15.30699460235006,1166.1921745408868,-0.7520641893028137
17717.335808201668,1176.0166445165655,-8.19004402635153,1176.0451628237563,-0.39901422551305155
20000.000000000004,1184.2622026557167,-2.1087895023433134,1184.2640801916332,-0.10202521906957172
